,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
0,FA667015C0004,5700,Empty,Empty,Empty
1,N4008018C4432,1700,Empty,Empty,Empty
2,N4008012C3038,1700,Empty,Empty,Empty
3,140P3022C0013,1443,,,
4,47PF0019C0100,4740,,,
5,GS03P07QPP0078,4740,0,$0,0%
6,FA304710C0090,5700,Empty,Empty,Empty
7,1282A721C0065,12C2,,,
8,FA466411C0004,5700,Empty,Empty,Empty
9,FA524023C0013,5700,Empty,Empty,Empty
10,F6550103C0004,5700,Empty,Empty,Empty
11,HQ009504C0032,97F5,Empty,Empty,Empty
12,INP16PC00570,1443,0,$0,0%
13,W911SA14C0006,2100,0,$0,0%
14,FA283514C0022,5700,Empty,Empty,Empty
15,FA441906C0002,5700,Empty,Empty,Empty
16,N6247308C7512,1700,Empty,Empty,Empty
17,FA500010C0046,5700,Empty,Empty,Empty
18,VA250C0396,3600,0,$0,0%
19,N4008509C2564,1700,Empty,Empty,Empty
20,VA26313C0228,3600,Empty,Empty,Empty
21,INP13PC00348,1443,0,$0,0%
22,W50S8T24C0002,2100,,,
23,FA488724C0005,5700,Empty,Empty,Empty
24,FA302924C0004,5700,Empty,Empty,Empty
25,W9123618C0008,2100,,,
26,FA301023C0014,5700,Empty,Empty,Empty
27,HHSD200201034902C,7523,0,$0,0%
28,W912JB16C8002,2100,0,$0,0%
29,36E77618C0039,3600,0,$0,0%
30,GS04P04LCC0053,4740,0,$0,0%
31,47PB0621C0003,4740,,,
32,GS01P04BWC0125GSP0108NF0017,4740,0,$0,0%
33,SAQMMA09F1984,1900,0,$0,0%
34,FA462522C0014,5700,Empty,Empty,Empty
35,1333ND23CNB190048,1341,,,
36,W91B4N10C8284,2100,0,$0,0%
37,12405B23C0036,12H2,,,
38,6973GH23C00190,6920,,,
39,W912BU19C0023,2100,0,$0,0%
40,INF15PC00035,1448,0,$0,0%
41,VA250RA0424,3600,,,
42,00262200309DV664C4758A,3600,0,$0,0%
43,VA69DC0574,3600,0,$0,0%
44,W9123621C2013,2100,,,
45,W912HP19C1000,2100,,,
46,AE129880000320,1630,Empty,Empty,Empty
47,W911SA05C0005,2100,0,$0,0%
48,N6246706C8819,1700,Empty,Empty,Empty
49,509360401,1226,Empty,Empty,Empty
50,N4425503C1044,1700,Empty,Empty,Empty
51,N3319115C1221,1700,Empty,Empty,Empty
52,531A200303D5052B133026,12C2,Empty,Empty,Empty
53,47PK0521C0003,4740,,,
54,W9127S11C6016,2100,0,$0,0%
55,N6945011C5085,1700,Empty,Empty,Empty
56,DESW0000020,8900,0,$0,0%
57,W50S8P20C0010,2100,,,
58,W9115109C0057,2100,0,$0,0%
59,N4008015C0151,1700,Empty,Empty,Empty
60,GS02P09PWC0012,4740,0,$0,0%
61,GS10P11XAC0028,4740,0,$0,0%
62,FA704607C0002,5700,Empty,Empty,Empty
63,VA52812C0044,3600,0,$0,0%
64,W912HY10C0027,2100,0,$0,0%
65,N6945013C6345,1700,Empty,Empty,Empty
66,OPM3315C0004,2400,0,$0,0%
67,W912DR22C0028,2100,,,
68,SALMEC06C0007,1900,0,$0,0%
69,GS04P17EXC0029,4740,,,
70,47PK0921C0004,4740,,,
71,VA24815C0122,3600,0,$0,0%
72,VA24513C0069,3600,0,$0,0%
73,GS02P98PWC0098,4740,0,$0,0%
74,GS09P06KTC3062,4740,0,$0,0%
75,AG4660C060011,12C2,0,$0,0%
76,N6247312C2211,1700,Empty,Empty,Empty
77,N6274219C1317,1700,Empty,Empty,Empty
78,V605C07528A,3600,,,
79,SALMEC06C0036,1900,,,
80,140P3022C0032,1443,,,
81,VA26117C0233,3600,0,$0,0%
82,W912DS07C0008,2100,,,
83,HM157505C0006,97AB,Empty,Empty,Empty
84,N4008508C2130,1700,Empty,Empty,Empty
85,VA24813C0081,3600,0,$0,0%
86,DJB30803047,1540,0,$0,0%
87,33330223CF0010544,3300,0,$0,0%
88,W9128F20C0036,2100,,,
89,N6833522C0253,1700,Empty,Empty,Empty
90,FA309905C0005,5700,Empty,Empty,Empty
91,FA286012C0023,5700,Empty,Empty,Empty
92,N4008517C9606,1700,Empty,Empty,Empty
93,FA282305C0019,5700,Empty,Empty,Empty
94,W911RZ06C0021,2100,0,$0,0%
95,N6274214C1300,1700,Empty,Empty,Empty
96,FA488724C0011,5700,Empty,Empty,Empty
97,N6945022C0051,1700,Empty,Empty,Empty
98,GS09P12NPC0025,4740,,,
99,N3319110C1461,1700,Empty,Empty,Empty
100,140P6418C0030,1443,Empty,Empty,Empty
101,VA263C1323,3600,Empty,Empty,Empty
102,SP470519C0003,97AS,Empty,Empty,Empty
103,AG0489C090005,12C2,Empty,Empty,Empty
104,1605C322C0012,1605,Empty,Empty,Empty
105,W912L306C0007,2100,Empty,Empty,Empty
106,47PD0419C0012,4740,Empty,Empty,Empty
107,47PD0121C0003,4740,Empty,Empty,Empty
108,AE125990220,1630,Empty,Empty,Empty
109,W9126G15C0090,2100,Empty,Empty,Empty
110,W912BV04C1002,2100,Empty,Empty,Empty
111,W9123809C0004,2100,Empty,Empty,Empty
112,W5J9JE11C0073,2100,Empty,Empty,Empty
113,47PD0618C0003,4740,Empty,Empty,Empty
114,W91QVP08C2002,2100,Empty,Empty,Empty
115,VA256C0040,3600,Empty,Empty,Empty
116,DTFAEN13C00043,6920,Empty,Empty,Empty
117,DJBP0202N3A30008,1540,Empty,Empty,Empty
118,GS11P08ZGC0300,4740,Empty,Empty,Empty
119,36C25518C0168,3600,Empty,Empty,Empty
120,FA489706C3023,5700,Empty,Empty,Empty
121,W9124M08C0030,2100,Empty,Empty,Empty
122,N4008006C0507,1700,Empty,Empty,Empty
123,36C26221C0029,3600,Empty,Empty,Empty
124,VA262C0142,3600,Empty,Empty,Empty
125,FA282315C4017,5700,Empty,Empty,Empty
126,N6945022C0079,1700,Empty,Empty,Empty
127,W5J9JE11C0128,2100,Empty,Empty,Empty
128,FA452814C3011,5700,Empty,Empty,Empty
129,GS09P08KZC0004,4740,Empty,Empty,Empty
130,W912JB19C8001,2100,Empty,Empty,Empty
131,N4008519C9057,1700,Empty,Empty,Empty
132,FA440709C0039,5700,Empty,Empty,Empty
133,DOLJ084R21871,1645,Empty,Empty,Empty
134,N4008018C4459,1700,Empty,Empty,Empty
135,N6945020C0059,1700,Empty,Empty,Empty
