,Unnamed: 0,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
118,118,VA262C0349,3600,Empty,Empty,Empty
119,119,W91B4M09C4180,2100,Empty,Empty,Empty
120,120,W912ER11C0054,2100,Empty,Empty,Empty
121,121,GS08P12JFC0118,4740,Empty,Empty,Empty
122,122,GS03P14DXC0040,4740,Empty,Empty,Empty
123,123,W9124922C0017,2100,Empty,Empty,Empty
124,124,GS10P13XAM0008,4740,Empty,Empty,Empty
125,125,W91B4M11C6514,2100,Empty,Empty,Empty
126,126,GS11P16YTC7176,4740,Empty,Empty,Empty
127,127,VA243C0826,3600,Empty,Empty,Empty
128,128,GS11P12YTC0111,4740,Empty,Empty,Empty
129,129,HSCGG114CPRV168,7008,Empty,Empty,Empty
130,130,36C26222C0079,3600,Empty,Empty,Empty
131,131,W912DR08C0083,2100,Empty,Empty,Empty
132,132,33330224CF0010174,3300,Empty,Empty,Empty
133,133,VA245C0176,3600,Empty,Empty,Empty
134,134,W5J9JE12C0138,2100,Empty,Empty,Empty
135,135,INP15PC00615,1443,Empty,Empty,Empty
136,136,GS04P12EXC0096,4740,Empty,Empty,Empty
137,137,HSCG3108C6SA825,7008,Empty,Empty,Empty
138,138,VA69D17C0216,3600,Empty,Empty,Empty
139,139,W912PX12C0004,2100,Empty,Empty,Empty
140,140,N6247314C0421,1700,Empty,Empty,Empty
141,141,70Z08618CPHV01900,7008,Empty,Empty,Empty
142,142,W9115111C0076,2100,Empty,Empty,Empty
143,143,47PG0720C0006,4740,Empty,Empty,Empty
144,144,W912DR19C0044,2100,Empty,Empty,Empty
145,145,VA263C1027,3600,Empty,Empty,Empty
146,146,47PK1519C0016,4740,Empty,Empty,Empty
147,147,AG82A7C110045,12C2,Empty,Empty,Empty
148,148,VA24912C0300,3600,Empty,Empty,Empty
149,149,36C24418C0123,3600,Empty,Empty,Empty
150,150,W912EK17C0061,2100,Empty,Empty,Empty
151,151,47PK1720C0027,4740,Empty,Empty,Empty
152,152,W9124722C0046,2100,Empty,Empty,Empty
153,153,1630DC17C0024,1630,Empty,Empty,Empty
154,154,FA252123C0019,5700,Empty,Empty,Empty
155,155,DOCSB134107CN0020,1341,Empty,Empty,Empty
156,156,FA500404C0005,5700,Empty,Empty,Empty
157,157,HSFLC04C0024,7015,Empty,Empty,Empty
158,158,W9124Q05C0333,2100,Empty,Empty,Empty
159,159,DOCSB134111CN0057,1341,Empty,Empty,Empty
160,160,W912PL15C0035,2100,Empty,Empty,Empty
161,161,W91B4M10C4083,2100,Empty,Empty,Empty
162,162,FA813724C0007,5700,Empty,Empty,Empty
163,163,FA480314C0020,5700,Empty,Empty,Empty
164,164,75H70124C00021,7527,Empty,Empty,Empty
165,165,FA446008C0019,5700,Empty,Empty,Empty
166,166,FA489724C0004,5700,Empty,Empty,Empty
167,167,AG7442C110086,12C3,Empty,Empty,Empty
168,168,W912QR16C0029,2100,Empty,Empty,Empty
169,169,W912CN16C0025,2100,Empty,Empty,Empty
170,170,W912BU19C0027,2100,Empty,Empty,Empty
171,171,GS07P12URC0028,4740,Empty,Empty,Empty
172,172,FA452814C3004,5700,Empty,Empty,Empty
173,173,DABR0104C0006,2100,Empty,Empty,Empty
174,174,VA24312C0134,3600,Empty,Empty,Empty
175,175,FA460809C0021,5700,Empty,Empty,Empty
176,176,VA26313C0165,3600,Empty,Empty,Empty
177,177,V605C67070,3600,Empty,Empty,Empty
178,178,INP16PC00695,1443,Empty,Empty,Empty
179,179,VA24513C0076,3600,Empty,Empty,Empty
180,180,GS03P17QAC0017,4740,Empty,Empty,Empty
181,181,GS11P06YTP0242,4740,Empty,Empty,Empty
182,182,VA263C0897,3600,Empty,Empty,Empty
183,183,47PK1220C0011,4740,Empty,Empty,Empty
184,184,47PK1418C0006,4740,,,
185,185,W9124Q06C0127,2100,0,$0,0%
186,186,AG447UC060103,12C2,0,$0,0%
187,187,AG9JGPC170059,12C2,,,
188,188,SSR10006C1503,1900,0,$0,0%
189,189,DOCSB134107CN0055,1341,0,$0,0%
190,190,VA24813C0106,3600,Empty,Empty,Empty
191,191,W912DQ23C4027,2100,,,
192,192,INA13PC00033,1450,0,$0,0%
193,193,47PG0919C0001,4740,,,
194,194,W912P509C0024,2100,Empty,Empty,Empty
195,195,75N99020C00052,7529,,,
196,196,GS09P17WFC0007,4740,,,
197,197,47PA0318C0045,4740,,,
198,198,DEAC5205NA26908,8900,Empty,Empty,Empty
199,199,N6247307C7036,1700,Empty,Empty,Empty
200,200,W917PM08C0053,2100,0,$0,0%
201,201,GS04P07EXC0123,4740,Empty,Empty,Empty
202,202,GS11P08YEC0087,4740,0,$0,0%
203,203,SRB10007C2832,1900,,,
204,204,INF501815C008,1448,0,$0,0%
205,205,DTFAEN11C00633,6920,Empty,Empty,Empty
206,206,SLI60005C0014,1900,0,$0,0%
207,207,SAQMMA13C0211,1900,0,$0,0%
208,208,47PM1025C0001,4740,Empty,Empty,Empty
209,209,W90U4210C4013,2100,,,
210,210,VA26312C0156,3600,Empty,Empty,Empty
211,211,W912KN18C6002,2100,,,
212,212,N6945024C0046,1700,Empty,Empty,Empty
213,213,W9126G19C0001,2100,,,
214,214,W912DR16C0044,2100,0,$0,0%
215,215,V692C469,3600,0,$0,0%
216,216,N6945007C3581,1700,Empty,Empty,Empty
217,217,DTFASA17C00417,6920,,,
218,218,47PK0524C0031,4740,,,
219,219,V247C04578A,3600,Empty,Empty,Empty
220,220,47PK1423C0015,4740,,,
221,221,GS11P05YTC0043,4740,0,$0,0%
222,222,INF601816C255,1448,0,$0,0%
223,223,GS11P10YTC0016,4740,0,$0,0%
224,224,47PG0724C0001,4740,,,
225,225,36C25924C0072,3600,0,$0,0%
226,226,V516C985,3600,0,$0,0%
227,227,47PM0419C0006,4740,,,
228,228,ALMEC200309DSALMEC03C0031,1900,Empty,Empty,Empty
229,229,GS11P16YMC7144,4740,0,$0,0%
230,230,GS03P07CDC0021,4740,0,$0,0%
231,231,VA244C1163,3600,0,$0,0%
232,232,36C25524C0066,3600,0,$0,0%
233,233,VA673C90385,3600,0,$0,0%
234,234,W911S609C0017,2100,0,$0,0%
235,235,VA26312C0055,3600,0,$0,0%
236,236,W919QA10C0029,2100,0,$0,0%
237,237,W912KC14C0009,2100,0,$0,0%
238,238,INP17PC00726,1443,,,
239,239,INPC8539050087,1443,0,$0,0%
240,240,W912PL09C0034,2100,Empty,Empty,Empty
241,241,W912PQ10C0035,2100,Empty,Empty,Empty
242,242,W911S110C0030,2100,,,
243,243,AG3K15C110020,12H2,Empty,Empty,Empty
244,244,W9126G18C0015,2100,Empty,Empty,Empty
245,245,GS08P04JBM0148,4740,,,
246,246,W91B4M09C4190,2100,Empty,Empty,Empty
247,247,W912DR14C0045,2100,Empty,Empty,Empty
248,248,VA26116C0047,3600,Empty,Empty,Empty
249,249,GS11P16YTC0005,4740,Empty,Empty,Empty
250,250,VA244C1599,3600,Empty,Empty,Empty
251,251,36C24623C0096,3600,Empty,Empty,Empty
252,252,VA69DC0645,3600,Empty,Empty,Empty
253,253,SAQMMA11C0197,1900,Empty,Empty,Empty
254,254,W9124722C0132,2100,Empty,Empty,Empty
255,255,W9123823C0021,2100,Empty,Empty,Empty
256,256,AG03R6C070097,12C2,Empty,Empty,Empty
257,257,W911SF11C0043,2100,Empty,Empty,Empty
258,258,GS02P12PQC0029,4740,Empty,Empty,Empty
259,259,N6247312C1425,1700,Empty,Empty,Empty
260,260,FA480312C0019,5700,Empty,Empty,Empty
261,261,VA255C1389,3600,Empty,Empty,Empty
262,262,W5J9JE12C0067,2100,Empty,Empty,Empty
263,263,N6945013C4148,1700,Empty,Empty,Empty
264,264,GS08P03VEC0075,4740,Empty,Empty,Empty
265,265,GS04P10EWC0013,4740,Empty,Empty,Empty
266,266,V10N3C3638A,3600,Empty,Empty,Empty
267,267,W912DR11C0029,2100,Empty,Empty,Empty
268,268,VA255C1563,3600,Empty,Empty,Empty
269,269,FA441706C0009,5700,Empty,Empty,Empty
270,270,VA52812C0106,3600,Empty,Empty,Empty
271,271,VA24612C0177,3600,Empty,Empty,Empty
272,272,GS11P15YEP0044,4740,Empty,Empty,Empty
273,273,W9128A17C0009,2100,Empty,Empty,Empty
274,274,W50S9522C0001,2100,Empty,Empty,Empty
275,275,W9128F23C0011,2100,Empty,Empty,Empty
276,276,47PM0221C0012,4740,Empty,Empty,Empty
277,277,W9124724C0056,2100,Empty,Empty,Empty
278,278,N6945010C4066,1700,Empty,Empty,Empty
279,279,GS11P13YTC0131,4740,Empty,Empty,Empty
280,280,N4008514C5226,1700,Empty,Empty,Empty
281,281,W9128A14C0011,2100,Empty,Empty,Empty
282,282,INP16PC00251,1443,Empty,Empty,Empty
283,283,AG02RCC170002,12C2,Empty,Empty,Empty
284,284,47PM0318C0008,4740,Empty,Empty,Empty
285,285,SVE30006C0024,1900,Empty,Empty,Empty
286,286,N4008515C3841,1700,Empty,Empty,Empty
287,287,W91B4N12C8037,2100,Empty,Empty,Empty
288,288,VA259C0532,3600,Empty,Empty,Empty
289,289,AE128810000320,1630,Empty,Empty,Empty
290,290,FA570012C0003,5700,Empty,Empty,Empty
291,291,SAQMMA12C0232,1900,Empty,Empty,Empty
292,292,47PJ0020C0007,4740,Empty,Empty,Empty
293,293,W9126G22C0044,2100,Empty,Empty,Empty
294,294,GS10P08LTC0078,4740,Empty,Empty,Empty
295,295,N6927204C1006,1700,Empty,Empty,Empty
296,296,W9127806C0024,2100,Empty,Empty,Empty
297,297,HQ003423C0005,97F5,Empty,Empty,Empty
298,298,75N99023C00090,7529,Empty,Empty,Empty
299,299,VA26114C0234,3600,Empty,Empty,Empty
300,300,VA249C0933,3600,Empty,Empty,Empty
301,301,INF201815C019,1448,Empty,Empty,Empty
302,302,W9127S06C0027,2100,Empty,Empty,Empty
303,303,GS02P17PWC0003,4740,Empty,Empty,Empty
304,304,GS09P16WBC7028,4740,Empty,Empty,Empty
305,305,FA820116C0015,5700,Empty,Empty,Empty
306,306,70B01C18C00000115,7014,Empty,Empty,Empty
307,307,GS06P15GZC7005,4740,Empty,Empty,Empty
308,308,W912DQ15C4010,2100,Empty,Empty,Empty
309,309,FA664811C0026,5700,Empty,Empty,Empty
310,310,W912ER15C0009,2100,Empty,Empty,Empty
311,311,W912QR14C0001,2100,Empty,Empty,Empty
312,312,INA17PC00124,1450,Empty,Empty,Empty
313,313,47PF0018C0054,4740,Empty,Empty,Empty
314,314,W912QR22C0036,2100,Empty,Empty,Empty
315,315,GS04P16RRC7039,4740,Empty,Empty,Empty
316,316,GS09P07WLC0002,4740,Empty,Empty,Empty
317,317,VA25813C0059,3600,Empty,Empty,Empty
318,318,INPC5292102049,1443,Empty,Empty,Empty
319,319,GS10P15XJP0014,4740,Empty,Empty,Empty
320,320,05M6200307D5005M630032,12C2,Empty,Empty,Empty
321,321,AG05G2C140015,12C2,Empty,Empty,Empty
322,322,W912WJ19C0011,2100,Empty,Empty,Empty
323,323,W9124719C0120,2100,Empty,Empty,Empty
324,324,FA441716C0014,5700,Empty,Empty,Empty
325,325,W50S8F22C0001,2100,Empty,Empty,Empty
326,326,47PF0018C0011,4740,Empty,Empty,Empty
327,327,W9127S11C6003,2100,Empty,Empty,Empty
328,328,GS11P09YTC0497,4740,Empty,Empty,Empty
329,329,GS02P06PWC0027,4740,Empty,Empty,Empty
330,330,N6945009C0091,1700,Empty,Empty,Empty
331,331,V623C736,3600,Empty,Empty,Empty
332,332,47PE0222C0019,4740,Empty,Empty,Empty
333,333,F0466603C0036,5700,Empty,Empty,Empty
334,334,W912QR04C0011,2100,Empty,Empty,Empty
335,335,FA480311C0021,5700,Empty,Empty,Empty
336,336,W911QX18C0046,2100,Empty,Empty,Empty
337,337,VA251C1123,3600,Empty,Empty,Empty
338,338,VA24313C0069,3600,Empty,Empty,Empty
339,339,V520C5278ATO1,3600,Empty,Empty,Empty
340,340,VA247C1200,3600,Empty,Empty,Empty
341,341,47PA0318C0020,4740,Empty,Empty,Empty
342,342,47PM1018C0051,4740,Empty,Empty,Empty
343,343,47PE0719C0018,4740,Empty,Empty,Empty
344,344,SP330010C0026,97AS,Empty,Empty,Empty
345,345,GS04P11EXC0023,4740,0,$0,0%
346,346,N6247310C1636,1700,Empty,Empty,Empty
347,347,00518200309D518C30009,3600,0,$0,0%
348,348,GS09P12WJC0009,4740,0,$0,0%
349,349,VA25617C0216,3600,Empty,Empty,Empty
350,350,W912DY19C0063,2100,Empty,Empty,Empty
351,351,W9127808C0011,2100,0,$0,0%
352,352,N4008008C0029,1700,Empty,Empty,Empty
353,353,W912QR11C0043,2100,0,$0,0%
354,354,FA440709C0012,5700,Empty,Empty,Empty
355,355,36C77621C0007,3600,Empty,Empty,Empty
356,356,36C24421C0033,3600,Empty,Empty,Empty
357,357,140A1121C0002,1450,Empty,Empty,Empty
358,358,47PG0722C0010,4740,,,
359,359,8538200308D5082X930109A,12C2,0,$0,0%
360,360,DOCWC133C09CN0259,1330,,,
361,361,GS11P11MAM0046,4740,0,$0,0%
362,362,GS11P17YTC0023,4740,,,
363,363,36C24919C0069,3600,0,$0,0%
364,364,W912DR19C0070,2100,0,$0,0%
365,365,FA449720C0031,5700,Empty,Empty,Empty
366,366,VA24312C0157,3600,Empty,Empty,Empty
367,367,47PL0123C0003,4740,,,
368,368,NNA17BF84C,8000,,,
369,369,HSCG4210CPFC015,7008,0,$0,0%
370,370,W9124724C0045,2100,Empty,Empty,Empty
371,371,VA259C0912,3600,0,$0,0%
372,372,W9124N08C0049,2100,0,$0,0%
373,373,W911S711C0020,2100,0,$0,0%
374,374,N6247318C1621,1700,Empty,Empty,Empty
375,375,W912DR08C0079,2100,Empty,Empty,Empty
376,376,GS11P11YEC0211,4740,Empty,Empty,Empty
377,377,N3654A07C5004,1700,Empty,Empty,Empty
378,378,SPK33011C5594,1900,Empty,Empty,Empty
379,379,W912L811C0002,2100,Empty,Empty,Empty
380,380,VA244C0355,3600,0,$0,0%
381,381,FA440710C0011,5700,Empty,Empty,Empty
382,382,INL10PC00598,1422,0,$0,0%
383,383,N6945016C5633,1700,Empty,Empty,Empty
384,384,N4008507C3231,1700,Empty,Empty,Empty
385,385,36C26123C0057,3600,Empty,Empty,Empty
386,386,AG32KWC110004,12K3,Empty,Empty,Empty
387,387,INP15PC00872,1443,,,
388,388,W5K9FH12C0183,2100,,,
389,389,47PH0620C0004,4740,,,
390,390,GS08P13JAC0014,4740,Empty,Empty,Empty
391,391,W91QV116C0170,2100,Empty,Empty,Empty
392,392,47PM1018C0025,4740,,,
393,393,GS03P15QAC7000,4740,0,$0,0%
394,394,FA480905CC001,5700,Empty,Empty,Empty
395,395,GS09P09KZC0029,4740,0,$0,0%
396,396,N6945016C4414,1700,Empty,Empty,Empty
397,397,W50S9724C0001,2100,0,$0,0%
398,398,W912PL22C0011,2100,,,
399,399,FA570217C0022,5700,Empty,Empty,Empty
400,400,36C24618C0122,3600,0,$0,0%
401,401,GS08P17VJC0002,4740,,,
402,402,N6247314C0616,1700,Empty,Empty,Empty
403,403,GS03P06QPM0047,4740,Empty,Empty,Empty
404,404,W91B4M09C4224,2100,,,
405,405,V502C650,3600,,,
406,406,W917BE07C0025,2100,Empty,Empty,Empty
407,407,F0965003C0045,5700,Empty,Empty,Empty
408,408,GS03P08DXC0023,4740,Empty,Empty,Empty
409,409,VA248C1041,3600,Empty,Empty,Empty
410,410,HSCG3105C6BA030,7008,,,
411,411,W912DS10C0037,2100,Empty,Empty,Empty
412,412,W91B4N11C8017,2100,0,$0,0%
413,413,693JF718C000061,6938,,,
414,414,VA249C1121,3600,0,$0,0%
415,415,140P5123C0017,1443,,,
416,416,W9126G07C0049,2100,0,$0,0%
417,417,N6247307C6791,1700,Empty,Empty,Empty
418,418,GS04P11EXC0211,4740,0,$0,0%
419,419,W912HP18C1004,2100,,,
420,420,VA69DC0584,3600,Empty,Empty,Empty
421,421,FA282324C0039,5700,Empty,Empty,Empty
422,422,V247C0527,3600,Empty,Empty,Empty
423,423,NNL08AA36C,8000,Empty,Empty,Empty
424,424,GS04P15EXC0257,4740,Empty,Empty,Empty
425,425,47PJ0020C0081,4740,Empty,Empty,Empty
426,426,RA000200212DGS04P03RAC0015,4740,Empty,Empty,Empty
427,427,W912DY15C0051,2100,Empty,Empty,Empty
428,428,HSBP1010C00101,7014,Empty,Empty,Empty
429,429,GS01P06NLM0021,4740,Empty,Empty,Empty
430,430,VA250C0444,3600,Empty,Empty,Empty
431,431,W912HN04C0016,2100,Empty,Empty,Empty
432,432,W912PM13C0003,2100,Empty,Empty,Empty
433,433,VA25914C0207,3600,Empty,Empty,Empty
434,434,GS09P11KLC0004,4740,Empty,Empty,Empty
435,435,VA258C0436,3600,Empty,Empty,Empty
436,436,VA250C0492,3600,Empty,Empty,Empty
437,437,W91QV110C0043,2100,Empty,Empty,Empty
438,438,GS04P13EXC0007,4740,Empty,Empty,Empty
439,439,INPC4840040005,1443,Empty,Empty,Empty
440,440,FA281607C0027,5700,Empty,Empty,Empty
441,441,W912QR06C0008,2100,Empty,Empty,Empty
442,442,N4008506C0411,1700,Empty,Empty,Empty
443,443,GS09P07WDC0010,4740,Empty,Empty,Empty
444,444,W91GFB10C5009,2100,Empty,Empty,Empty
445,445,DOCAB133014CN0165,1330,Empty,Empty,Empty
446,446,W91B4L09C0080,2100,Empty,Empty,Empty
447,447,36C24920C0102,3600,Empty,Empty,Empty
448,448,W5J9JE11C0121,2100,Empty,Empty,Empty
449,449,VA246C0793,3600,Empty,Empty,Empty
450,450,VA528C0548,3600,Empty,Empty,Empty
451,451,VA25613C0195,3600,Empty,Empty,Empty
452,452,GS04P05RAC0010,4740,Empty,Empty,Empty
453,453,W911S107C0041,2100,Empty,Empty,Empty
454,454,N6246703C2028,1700,Empty,Empty,Empty
455,455,INPC1720080421,1443,Empty,Empty,Empty
456,456,W912DR13C0054,2100,Empty,Empty,Empty
457,457,VA261C0541,3600,Empty,Empty,Empty
458,458,GS11P16YMC7116,4740,Empty,Empty,Empty
459,459,V640C52314,3600,Empty,Empty,Empty
460,460,W912ER07C0003,2100,Empty,Empty,Empty
461,461,W912DR10C0080,2100,Empty,Empty,Empty
462,462,FA521518C8008,5700,Empty,Empty,Empty
463,463,36C24223C0159,3600,Empty,Empty,Empty
464,464,47PK1724C0003,4740,Empty,Empty,Empty
465,465,INF12PC00159,1448,Empty,Empty,Empty
466,466,VA255C0488,3600,Empty,Empty,Empty
467,467,47PE0120C0006,4740,Empty,Empty,Empty
468,468,W91B4M09C4017,2100,Empty,Empty,Empty
469,469,W9115110C0148,2100,Empty,Empty,Empty
470,470,GS10P04XCC0010,4740,Empty,Empty,Empty
471,471,W912CN12C0025,2100,Empty,Empty,Empty
472,472,W912PP12C0025,2100,Empty,Empty,Empty
473,473,47PD0417C0005,4740,Empty,Empty,Empty
474,474,SALMEC01C0034,1900,Empty,Empty,Empty
475,475,GS09P05KZC0002,4740,Empty,Empty,Empty
476,476,VA786P0197,3600,Empty,Empty,Empty
477,477,W911SA09C0029,2100,Empty,Empty,Empty
478,478,GS04P11EXC0203,4740,Empty,Empty,Empty
479,479,INP12PC11740,1443,Empty,Empty,Empty
480,480,47PC0218C0003,4740,Empty,Empty,Empty
481,481,36C24418C0183,3600,Empty,Empty,Empty
482,482,FA489715C3002,5700,Empty,Empty,Empty
483,483,N6247311C3420,1700,Empty,Empty,Empty
484,484,697DCK19C00137,6920,Empty,Empty,Empty
485,485,W912QR20C0065,2100,Empty,Empty,Empty
486,486,V101BC0209,3600,Empty,Empty,Empty
487,487,W912BV11C0013,2100,Empty,Empty,Empty
488,488,GS09P09WFC0040,4740,Empty,Empty,Empty
489,489,W911KB19C0036,2100,Empty,Empty,Empty
490,490,W912K615C0005,2100,Empty,Empty,Empty
491,491,36C78624C0054,3600,Empty,Empty,Empty
492,492,75D30124C20233,7523,Empty,Empty,Empty
493,493,W912JM06C0006,2100,Empty,Empty,Empty
494,494,W50S8R20C0007,2100,Empty,Empty,Empty
495,495,GS11P04YTC0313,4740,Empty,Empty,Empty
496,496,W912GB23C0005,2100,Empty,Empty,Empty
497,497,W917PM06C0004,2100,Empty,Empty,Empty
498,498,DTFAAC16C00024,6920,Empty,Empty,Empty
499,499,SAQMMA11C0118,1900,Empty,Empty,Empty
500,500,W912QR18C0023,2100,Empty,Empty,Empty
501,501,47PE0719C0032,4740,Empty,Empty,Empty
502,502,47PK0618C0008,4740,Empty,Empty,Empty
503,503,47PE0724C0001,4740,Empty,Empty,Empty
504,504,W919QA11C0013,2100,Empty,Empty,Empty
505,505,INP12PC20350,1443,Empty,Empty,Empty
506,506,HSCGG114CPRV237,7008,Empty,Empty,Empty
507,507,W912QR10C0055,2100,Empty,Empty,Empty
508,508,HHSI102201000004C,7527,Empty,Empty,Empty
509,509,GS09P08KZC0025,4740,Empty,Empty,Empty
510,510,N0042124C0082,1700,Empty,Empty,Empty
511,511,GS03P15QMC0010,4740,Empty,Empty,Empty
512,512,N4008018C0008,1700,Empty,Empty,Empty
513,513,GS10P09XAC0037,4740,Empty,Empty,Empty
514,514,INPC5010080901,1443,Empty,Empty,Empty
515,515,W9126G05C0022,2100,Empty,Empty,Empty
516,516,VA26314C0019,3600,Empty,Empty,Empty
517,517,N6247310C5012,1700,Empty,Empty,Empty
518,518,N6945012C0031,1700,Empty,Empty,Empty
519,519,FA440709C0033,5700,Empty,Empty,Empty
520,520,GS06P10TNC0033,4740,Empty,Empty,Empty
